bar_idx,bar_date,event_type,zone_id,zone_start,zone_end,zone_high,zone_low,zone_bars,zone_score,methods,weighted_votes,vote_count,atr_ratio,range_pct,compression,overlap,vol_contract,rel_vol,trend,breakout_dir,breakout_mag,close_price,consecutive_detections
812,2025-06-06,CONFIRMED,49,806,812,25.76,24.77,7,0.334,atr_squeeze|bbw_squeeze|fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,5.8,9,1.72,3.9,0.89,0.24,0.97,0.88,1.6,,0.0,25.59,2
814,2025-06-10,BREAKOUT,49,806,812,25.76,24.77,7,0.334,atr_squeeze|bbw_squeeze|fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,5.8,9,1.72,3.9,0.89,0.24,0.97,0.88,1.6,up,0.4,25.94,2
845,2025-07-25,DEVELOPING,50,835,844,26.19,25.20,10,0.298,bbw_squeeze|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|range_bars|stationarity|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,25.63,1
847,2025-07-29,CONFIRMED,50,835,843,26.19,25.20,9,0.306,bar_compression|bbw_squeeze|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|range_bars|stationarity|volume_flat,7.5,11,1.98,3.9,0.93,0.16,0.90,0.92,0.5,,0.0,26.35,2
847,2025-07-29,BREAKOUT,50,835,843,26.19,25.20,9,0.306,bar_compression|bbw_squeeze|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|range_bars|stationarity|volume_flat,7.5,11,1.98,3.9,0.93,0.16,0.90,0.92,0.5,up,0.3,26.35,2
861,2025-08-18,DEVELOPING,51,858,861,26.93,26.15,4,0.418,body_overlap|fractal_box|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,26.41,1
862,2025-08-19,CONFIRMED,51,858,862,27.02,26.15,5,0.404,body_overlap|fractal_box|preceding_trend|range_bars|volume_flat,2.9,5,1.36,3.3,0.81,0.47,0.72,0.86,2.5,,0.0,27.01,2
865,2025-08-22,BREAKOUT,51,858,862,27.02,26.15,5,0.404,body_overlap|fractal_box|preceding_trend|range_bars|volume_flat,2.9,5,1.36,3.3,0.81,0.47,0.72,0.86,2.5,up,1.5,27.86,2
873,2025-09-04,DEVELOPING,52,866,872,28.22,27.23,7,0.320,dbscan|fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,28.14,1
874,2025-09-05,CONFIRMED,52,867,872,28.22,27.47,6,0.348,dbscan|fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,4.2,7,1.42,2.7,0.86,0.03,1.23,0.83,3.3,,0.0,28.20,2
882,2025-09-17,DEVELOPING,53,871,881,28.24,27.56,11,0.465,bbw_squeeze|body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|preceding_trend|range_bars|stationarity|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,27.80,1
883,2025-09-18,CONFIRMED,53,871,881,28.24,27.56,11,0.456,atr_squeeze|bbw_squeeze|body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|preceding_trend|range_bars|stationarity|volume_flat,8.9,13,1.50,2.4,0.77,0.20,1.06,0.78,3.2,,0.0,27.84,2
885,2025-09-22,BREAKOUT,52,867,872,28.22,27.47,6,0.348,dbscan|fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,4.2,7,1.42,2.7,0.86,0.03,1.23,0.83,3.3,down,0.2,27.39,2
885,2025-09-22,BREAKOUT,53,871,881,28.24,27.56,11,0.456,atr_squeeze|bbw_squeeze|body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|preceding_trend|range_bars|stationarity|volume_flat,8.9,13,1.50,2.4,0.77,0.20,1.06,0.78,3.2,down,0.4,27.39,2
891,2025-09-30,DEVELOPING,54,885,891,27.68,27.19,7,0.394,atr_squeeze|bbw_squeeze|body_overlap|fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,27.68,1
892,2025-10-01,CONFIRMED,54,885,891,27.68,27.19,7,0.412,atr_squeeze|bbw_squeeze|body_overlap|fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,6.7,10,1.40,1.8,0.85,0.33,0.86,0.84,1.7,,0.0,27.35,2
893,2025-10-02,BREAKOUT,54,885,891,27.68,27.19,7,0.412,atr_squeeze|bbw_squeeze|body_overlap|fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,6.7,10,1.40,1.8,0.85,0.33,0.86,0.84,1.7,down,0.9,26.86,2
899,2025-10-10,DEVELOPING,55,893,898,27.22,26.52,6,0.313,dbscan|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,26.53,1
901,2025-10-14,EXPIRED,55,0,0,0.00,0.00,1,0.000,,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,27.03,1
911,2025-10-28,DEVELOPING,56,907,910,28.31,27.59,4,0.435,bar_compression|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,26.99,1
912,2025-10-29,CONFIRMED,56,907,910,28.31,27.59,4,0.428,bar_compression|preceding_trend|volume_flat,2.2,3,1.64,2.6,0.41,0.13,1.06,0.42,3.3,,0.0,26.80,2
912,2025-10-29,BREAKOUT,56,907,910,28.31,27.59,4,0.428,bar_compression|preceding_trend|volume_flat,2.2,3,1.64,2.6,0.41,0.13,1.06,0.42,3.3,down,1.5,26.80,2
933,2025-11-28,DEVELOPING,57,928,933,26.61,25.93,6,0.341,fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,26.14,1
935,2025-12-02,CONFIRMED,57,928,933,26.61,25.93,6,0.358,bar_compression|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,6.1,9,1.42,2.6,0.91,0.37,1.17,0.95,1.1,,0.0,25.53,2
935,2025-12-02,BREAKOUT,57,928,933,26.61,25.93,6,0.358,bar_compression|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,6.1,9,1.42,2.6,0.91,0.37,1.17,0.95,1.1,down,0.9,25.53,2
956,2026-01-02,DEVELOPING,58,947,954,26.45,25.58,8,0.372,bar_compression|body_overlap|fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,25.96,1
958,2026-01-06,CONFIRMED,58,947,954,26.45,25.58,8,0.389,bar_compression|body_overlap|fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,5.4,8,2.10,3.4,0.73,0.19,0.76,0.70,3.0,,0.0,25.96,2
966,2026-01-16,BREAKOUT,58,947,954,26.45,25.58,8,0.389,bar_compression|body_overlap|fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,5.4,8,2.10,3.4,0.73,0.19,0.76,0.70,3.0,up,0.5,26.67,2
976,2026-02-02,DEVELOPING,59,967,972,26.87,25.98,6,0.296,ha_doji|linreg_flat|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,26.51,1
978,2026-02-04,CONFIRMED,59,967,972,26.87,25.98,6,0.305,ha_doji|linreg_flat|preceding_trend|range_bars|volume_flat,3.2,5,1.88,3.4,0.89,0.34,1.02,0.86,2.5,,0.0,27.73,2
978,2026-02-04,BREAKOUT,59,967,972,26.87,25.98,6,0.305,ha_doji|linreg_flat|preceding_trend|range_bars|volume_flat,3.2,5,1.88,3.4,0.89,0.34,1.02,0.86,2.5,up,1.6,27.73,2
989,2026-02-20,DEVELOPING,60,986,989,29.70,29.12,4,0.458,dbscan|fractal_box|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,29.66,1
991,2026-02-24,EXPIRED,60,0,0,0.00,0.00,1,0.000,,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,29.81,1
1000,2026-03-09,DEVELOPING,61,994,999,30.70,29.75,6,0.344,body_overlap|linreg_flat|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,29.93,1
1002,2026-03-11,EXPIRED,61,0,0,0.00,0.00,1,0.000,,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,29.91,1
