bar_idx,bar_date,event_type,zone_id,zone_start,zone_end,zone_high,zone_low,zone_bars,zone_score,methods,weighted_votes,vote_count,atr_ratio,range_pct,compression,overlap,vol_contract,rel_vol,trend,breakout_dir,breakout_mag,close_price,consecutive_detections
378,2023-09-13,CONFIRMED,23,367,374,22.25,21.36,8,0.345,body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,6.0,9,2.07,4.1,0.91,0.37,1.29,0.89,2.7,,0.0,22.36,2
378,2023-09-13,BREAKOUT,23,367,374,22.25,21.36,8,0.345,body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,6.0,9,2.07,4.1,0.91,0.37,1.29,0.89,2.7,up,0.3,22.36,2
421,2023-11-13,DEVELOPING,24,417,421,21.44,20.69,5,0.368,body_overlap|fractal_box|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,20.77,1
422,2023-11-14,CONFIRMED,24,417,421,21.44,20.69,5,0.487,bar_compression|body_overlap|fractal_box|preceding_trend|volume_flat,3.5,5,1.42,3.6,0.54,0.38,0.62,0.37,1.9,,0.0,22.07,2
422,2023-11-14,BREAKOUT,24,417,421,21.44,20.69,5,0.487,bar_compression|body_overlap|fractal_box|preceding_trend|volume_flat,3.5,5,1.42,3.6,0.54,0.38,0.62,0.37,1.9,up,1.0,22.07,2
429,2023-11-24,DEVELOPING,25,424,428,21.97,21.18,5,0.281,bar_compression|fractal_box|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,21.38,1
430,2023-11-27,CONFIRMED,25,425,429,21.79,21.18,5,0.422,bar_compression|fractal_box|preceding_trend|range_bars|volume_flat,3.0,5,1.16,2.9,0.62,0.09,0.84,0.64,3.2,,0.0,21.43,2
434,2023-12-01,BREAKOUT,25,425,429,21.79,21.18,5,0.422,bar_compression|fractal_box|preceding_trend|range_bars|volume_flat,3.0,5,1.16,2.9,0.62,0.09,0.84,0.64,3.2,up,0.3,21.95,2
441,2023-12-12,DEVELOPING,26,436,441,22.90,22.20,6,0.356,body_overlap|dbscan|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,22.64,1
442,2023-12-13,CONFIRMED,26,436,441,22.90,22.20,6,0.495,bar_compression|body_overlap|dbscan|preceding_trend|volume_flat,3.8,5,1.65,3.1,0.44,0.54,1.28,0.45,3.4,,0.0,23.66,2
442,2023-12-13,BREAKOUT,26,436,441,22.90,22.20,6,0.495,bar_compression|body_overlap|dbscan|preceding_trend|volume_flat,3.8,5,1.65,3.1,0.44,0.54,1.28,0.45,3.4,up,1.6,23.66,2
450,2023-12-26,DEVELOPING,27,447,450,23.76,23.17,4,0.433,fractal_box|ha_doji|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,23.57,1
451,2023-12-27,CONFIRMED,27,447,451,23.76,23.17,5,0.454,bar_compression|fractal_box|ha_doji|preceding_trend|range_bars|volume_flat,3.7,6,1.19,2.5,0.79,0.34,0.73,0.77,4.1,,0.0,23.55,2
455,2024-01-03,BREAKOUT,27,447,451,23.76,23.17,5,0.454,bar_compression|fractal_box|ha_doji|preceding_trend|range_bars|volume_flat,3.7,6,1.19,2.5,0.79,0.34,0.73,0.77,4.1,down,1.0,22.67,2
464,2024-01-17,DEVELOPING,28,455,461,23.02,22.40,7,0.381,fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,22.33,1
466,2024-01-19,CONFIRMED,28,455,460,23.02,22.40,6,0.352,fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,3.5,6,1.49,2.7,0.83,0.27,1.14,0.88,2.9,,0.0,22.50,2
469,2024-01-24,BREAKOUT,28,455,460,23.02,22.40,6,0.352,fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,3.5,6,1.49,2.7,0.83,0.27,1.14,0.88,2.9,down,0.1,22.37,2
478,2024-02-06,DEVELOPING,29,469,476,22.99,22.24,8,0.393,bbw_squeeze|body_overlap|fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|stationarity|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,22.47,1
479,2024-02-07,CONFIRMED,29,470,476,22.99,22.24,7,0.374,bbw_squeeze|body_overlap|fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,6.0,9,1.72,3.3,0.82,0.45,1.05,0.87,1.5,,0.0,22.61,2
485,2024-02-15,BREAKOUT,29,470,476,22.99,22.24,7,0.374,bbw_squeeze|body_overlap|fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,6.0,9,1.72,3.3,0.82,0.45,1.05,0.87,1.5,up,0.4,23.21,2
488,2024-02-21,DEVELOPING,30,484,488,23.24,22.64,5,0.373,bbw_squeeze|body_overlap|fractal_box|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,22.92,1
489,2024-02-22,CONFIRMED,30,486,489,23.23,22.78,4,0.456,bbw_squeeze|body_overlap|fractal_box|ha_doji|linreg_flat|preceding_trend|range_bars|volume_flat,5.2,8,0.89,2.0,0.84,0.47,0.67,0.82,1.5,,0.0,23.06,2
490,2024-02-23,BREAKOUT,30,486,489,23.23,22.78,4,0.456,bbw_squeeze|body_overlap|fractal_box|ha_doji|linreg_flat|preceding_trend|range_bars|volume_flat,5.2,8,0.89,2.0,0.84,0.47,0.67,0.82,1.5,down,0.0,22.77,2
499,2024-03-07,DEVELOPING,31,489,499,23.07,22.41,11,0.382,bbw_squeeze|body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,22.73,1
500,2024-03-08,CONFIRMED,31,489,500,23.02,22.41,12,0.404,bbw_squeeze|body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|preceding_trend|range_bars|volume_flat,7.2,11,1.41,2.7,0.91,0.27,0.91,0.88,2.2,,0.0,22.75,2
504,2024-03-14,BREAKOUT,31,489,500,23.02,22.41,12,0.404,bbw_squeeze|body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|preceding_trend|range_bars|volume_flat,7.2,11,1.41,2.7,0.91,0.27,0.91,0.88,2.2,down,0.9,22.07,2
523,2024-04-11,DEVELOPING,32,517,521,22.52,21.80,5,0.303,dbscan|fractal_box|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,21.56,1
525,2024-04-15,CONFIRMED,32,517,521,22.52,21.80,5,0.312,dbscan|fractal_box|preceding_trend|range_bars|volume_flat,2.7,5,1.39,3.2,0.93,0.02,1.24,0.75,2.4,,0.0,21.24,2
525,2024-04-15,BREAKOUT,32,517,521,22.52,21.80,5,0.312,dbscan|fractal_box|preceding_trend|range_bars|volume_flat,2.7,5,1.39,3.2,0.93,0.02,1.24,0.75,2.4,down,1.1,21.24,2
529,2024-04-19,DEVELOPING,33,524,529,21.60,20.80,6,0.340,dbscan|linreg_flat|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,21.47,1
531,2024-04-23,CONFIRMED,33,524,529,21.60,20.80,6,0.344,dbscan|linreg_flat|preceding_trend|volume_flat,2.8,4,1.71,3.8,0.87,0.26,0.93,0.81,3.7,,0.0,21.83,2
531,2024-04-23,BREAKOUT,33,524,529,21.60,20.80,6,0.344,dbscan|linreg_flat|preceding_trend|volume_flat,2.8,4,1.71,3.8,0.87,0.26,0.93,0.81,3.7,up,0.6,21.83,2
553,2024-05-23,DEVELOPING,34,540,551,22.69,21.95,12,0.424,bbw_squeeze|body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|preceding_trend|range_bars|stationarity|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,21.87,1
554,2024-05-24,CONFIRMED,34,540,550,22.69,21.95,11,0.416,bbw_squeeze|body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|preceding_trend|range_bars|stationarity|volume_flat,8.2,12,1.67,3.3,0.91,0.36,0.85,0.88,2.1,,0.0,21.75,2
554,2024-05-24,BREAKOUT,34,540,550,22.69,21.95,11,0.416,bbw_squeeze|body_overlap|fractal_box|ha_doji|kde_cluster|linreg_flat|mtf_2x|mtf_3x|preceding_trend|range_bars|stationarity|volume_flat,8.2,12,1.67,3.3,0.91,0.36,0.85,0.88,2.1,down,0.6,21.75,2
562,2024-06-06,DEVELOPING,35,559,562,22.73,22.32,4,0.320,dbscan|fractal_box|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,22.62,1
563,2024-06-07,CONFIRMED,35,559,563,22.73,22.22,5,0.318,dbscan|fractal_box|preceding_trend|range_bars|volume_flat,2.7,5,1.35,2.3,0.88,0.24,1.38,0.86,2.1,,0.0,22.59,2
565,2024-06-11,BREAKOUT,35,559,563,22.73,22.22,5,0.318,dbscan|fractal_box|preceding_trend|range_bars|volume_flat,2.7,5,1.35,2.3,0.88,0.24,1.38,0.86,2.1,down,0.5,22.04,2
588,2024-07-16,DEVELOPING,36,578,583,23.13,22.39,6,0.282,bbw_squeeze|fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,24.38,1
589,2024-07-17,CONFIRMED,36,578,583,23.13,22.39,6,0.252,bbw_squeeze|fractal_box|preceding_trend|range_bars|volume_flat,2.7,5,2.01,3.3,0.91,0.21,1.03,0.81,1.2,,0.0,24.51,2
589,2024-07-17,BREAKOUT,36,578,583,23.13,22.39,6,0.252,bbw_squeeze|fractal_box|preceding_trend|range_bars|volume_flat,2.7,5,2.01,3.3,0.91,0.21,1.03,0.81,1.2,up,3.5,24.51,2
594,2024-07-24,DEVELOPING,37,589,593,24.84,24.20,5,0.445,body_overlap|fractal_box|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,24.16,1
595,2024-07-25,CONFIRMED,37,589,593,24.84,24.20,5,0.425,body_overlap|fractal_box|preceding_trend|range_bars|volume_flat,2.9,5,1.62,2.6,0.76,0.47,0.99,0.73,5.6,,0.0,24.20,2
598,2024-07-30,BREAKOUT,37,589,593,24.84,24.20,5,0.425,body_overlap|fractal_box|preceding_trend|range_bars|volume_flat,2.9,5,1.62,2.6,0.76,0.47,0.99,0.73,5.6,up,2.8,26.38,2
608,2024-08-13,DEVELOPING,38,604,608,25.46,24.83,5,0.412,bar_compression|fractal_box|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,25.32,1
609,2024-08-14,CONFIRMED,38,604,608,25.46,24.83,5,0.391,bar_compression|fractal_box|preceding_trend|range_bars|volume_flat,3.0,5,0.95,2.5,0.86,0.38,0.64,0.86,0.9,,0.0,25.41,2
610,2024-08-15,BREAKOUT,38,604,608,25.46,24.83,5,0.391,bar_compression|fractal_box|preceding_trend|range_bars|volume_flat,3.0,5,0.95,2.5,0.86,0.38,0.64,0.86,0.9,up,0.6,25.87,2
638,2024-09-25,DEVELOPING,39,633,638,28.45,27.63,6,0.273,fractal_box|kde_cluster|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,27.82,1
639,2024-09-26,CONFIRMED,39,633,638,28.41,27.63,6,0.332,bar_compression|fractal_box|preceding_trend|range_bars|volume_flat,3.0,5,1.78,2.8,0.70,0.22,1.27,0.71,2.1,,0.0,27.37,2
639,2024-09-26,BREAKOUT,39,633,638,28.41,27.63,6,0.332,bar_compression|fractal_box|preceding_trend|range_bars|volume_flat,3.0,5,1.78,2.8,0.70,0.22,1.27,0.71,2.1,down,0.6,27.37,2
660,2024-10-25,DEVELOPING,40,655,659,28.45,27.68,5,0.416,bbw_squeeze|body_overlap|ha_doji|linreg_flat|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,27.47,1
661,2024-10-28,CONFIRMED,40,655,659,28.45,27.68,5,0.376,bbw_squeeze|body_overlap|ha_doji|preceding_trend|range_bars|volume_flat,3.9,6,1.73,2.8,0.96,0.47,0.79,0.86,3.2,,0.0,27.73,2
662,2024-10-29,BREAKOUT,40,655,659,28.45,27.68,5,0.376,bbw_squeeze|body_overlap|ha_doji|preceding_trend|range_bars|volume_flat,3.9,6,1.73,2.8,0.96,0.47,0.79,0.86,3.2,down,0.3,27.52,2
673,2024-11-13,DEVELOPING,41,670,673,29.20,28.54,4,0.433,bar_compression|fractal_box|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,28.84,1
674,2024-11-14,CONFIRMED,41,671,674,29.20,28.57,4,0.417,bar_compression|fractal_box|preceding_trend|range_bars|volume_flat,3.0,5,1.02,2.2,0.78,0.29,0.73,0.74,2.3,,0.0,28.68,2
676,2024-11-18,BREAKOUT,41,671,674,29.20,28.57,4,0.417,bar_compression|fractal_box|preceding_trend|range_bars|volume_flat,3.0,5,1.02,2.2,0.78,0.29,0.73,0.74,2.3,up,0.1,29.25,2
697,2024-12-18,DEVELOPING,42,692,695,29.34,28.73,4,0.403,bar_compression|fractal_box|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,27.66,1
698,2024-12-19,CONFIRMED,42,692,695,29.34,28.73,4,0.405,bar_compression|fractal_box|preceding_trend|volume_flat,2.6,4,1.38,2.1,0.51,0.06,1.17,0.50,2.4,,0.0,27.09,2
698,2024-12-19,BREAKOUT,42,692,695,29.34,28.73,4,0.405,bar_compression|fractal_box|preceding_trend|volume_flat,2.6,4,1.38,2.1,0.51,0.06,1.17,0.50,2.4,down,3.1,27.09,2
702,2024-12-26,DEVELOPING,43,699,702,27.84,27.07,4,0.414,body_overlap|fractal_box|preceding_trend|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,27.75,1
703,2024-12-27,CONFIRMED,43,699,703,27.85,27.07,5,0.415,bar_compression|body_overlap|fractal_box|preceding_trend|volume_flat,3.5,5,1.45,2.8,0.86,0.43,1.08,0.86,6.0,,0.0,27.57,2
708,2025-01-06,BREAKOUT,43,699,703,27.85,27.07,5,0.415,bar_compression|body_overlap|fractal_box|preceding_trend|volume_flat,3.5,5,1.45,2.8,0.86,0.43,1.08,0.86,6.0,down,0.2,26.94,2
740,2025-02-24,DEVELOPING,44,737,740,27.69,26.93,4,0.428,body_overlap|fractal_box|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,27.38,1
741,2025-02-25,CONFIRMED,44,737,741,27.70,26.93,5,0.431,body_overlap|fractal_box|ha_doji|linreg_flat|preceding_trend|range_bars|volume_flat,4.5,7,1.21,2.8,0.89,0.48,0.63,0.86,2.1,,0.0,27.49,2
744,2025-02-28,BREAKOUT,44,737,741,27.70,26.93,5,0.431,body_overlap|fractal_box|ha_doji|linreg_flat|preceding_trend|range_bars|volume_flat,4.5,7,1.21,2.8,0.89,0.48,0.63,0.86,2.1,up,0.4,27.96,2
761,2025-03-25,DEVELOPING,45,753,760,26.23,25.17,8,0.370,fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,26.00,1
763,2025-03-27,CONFIRMED,45,754,760,26.23,25.17,7,0.346,fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,4.4,7,1.69,4.1,0.82,0.13,0.97,0.88,3.3,,0.0,26.26,2
763,2025-03-27,BREAKOUT,45,754,760,26.23,25.17,7,0.346,fractal_box|kde_cluster|linreg_flat|mtf_2x|preceding_trend|range_bars|volume_flat,4.4,7,1.69,4.1,0.82,0.13,0.97,0.88,3.3,up,0.1,26.26,2
780,2025-04-22,DEVELOPING,46,776,780,25.88,24.86,5,0.405,bar_compression|fractal_box|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,25.69,1
781,2025-04-23,CONFIRMED,46,776,780,25.88,24.86,5,0.417,bar_compression|fractal_box|range_bars|volume_flat,2.2,4,0.90,4.0,0.57,0.08,0.77,0.61,1.9,,0.0,25.76,2
783,2025-04-25,DEVELOPING,47,780,783,26.30,25.36,4,0.351,bar_compression|fractal_box|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,25.78,1
784,2025-04-28,BREAKOUT,46,776,780,25.88,24.86,5,0.417,bar_compression|fractal_box|range_bars|volume_flat,2.2,4,0.90,4.0,0.57,0.08,0.77,0.61,1.9,up,0.1,26.01,2
784,2025-04-28,CONFIRMED,47,781,784,26.30,25.45,4,0.334,bar_compression|fractal_box|range_bars|volume_flat,2.2,4,0.83,3.3,0.81,0.00,1.13,0.77,1.8,,0.0,26.01,2
785,2025-04-29,BREAKOUT,47,781,784,26.30,25.45,4,0.334,bar_compression|fractal_box|range_bars|volume_flat,2.2,4,0.83,3.3,0.81,0.00,1.13,0.77,1.8,down,0.6,24.91,2
794,2025-05-12,DEVELOPING,48,789,793,25.56,24.86,5,0.434,atr_squeeze|bar_compression|fractal_box|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,26.41,1
795,2025-05-13,CONFIRMED,48,789,793,25.56,24.86,5,0.416,atr_squeeze|bar_compression|fractal_box|range_bars|volume_flat,2.9,5,1.12,2.8,0.56,0.02,0.70,0.51,0.9,,0.0,26.04,2
795,2025-05-13,BREAKOUT,48,789,793,25.56,24.86,5,0.416,atr_squeeze|bar_compression|fractal_box|range_bars|volume_flat,2.9,5,1.12,2.8,0.56,0.02,0.70,0.51,0.9,up,0.8,26.04,2
811,2025-06-05,DEVELOPING,49,806,811,25.79,24.77,6,0.332,atr_squeeze|bbw_squeeze|fractal_box|kde_cluster|mtf_2x|preceding_trend|range_bars|volume_flat,0.0,0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,,0.0,25.04,1
